File,mean_particles,File_path,n_samples,time_per_event,code,code_version,algorithm,strategy,radius,power,backend,backend_version
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,22.63,Fastjet,3.5.1,EEKt,Best,0.4,-1.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,24.86,Fastjet,3.5.1,EEKt,Best,0.4,-1.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,26.91,Fastjet,3.5.1,EEKt,Best,0.4,-1.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,15.8,Fastjet,3.5.1,EEKt,Best,0.4,1.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,18.32,Fastjet,3.5.1,EEKt,Best,0.4,1.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,20.32,Fastjet,3.5.1,EEKt,Best,0.4,1.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,22.82,Fastjet,3.5.1,EEKt,Best,0.4,1.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,25.09,Fastjet,3.5.1,EEKt,Best,0.4,1.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,27.39,Fastjet,3.5.1,EEKt,Best,0.4,1.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,19.78,Fastjet,3.5.1,EEKt,Best,1.0,0.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,22.24,Fastjet,3.5.1,EEKt,Best,1.0,0.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,24.33,Fastjet,3.5.1,EEKt,Best,1.0,0.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,27.16,Fastjet,3.5.1,EEKt,Best,1.0,0.0,C++,gcc14.2
